wikipedia_url,scraped_at,event_name,date_raw,event_date,venue,venue_wiki_path,location,attendance,attendance_raw,ppv_buys,ppv_buys_raw,venue_capacity,gate_revenue,gate_raw,sell_through
https://en.wikipedia.org/wiki/UFC_on_ESPN:_Thompson_vs._Holland,2025-12-11T18:55:59.706575,UFC on ESPN: Thompson vs. Holland,"December 3, 2022(2022-12-03)",2022-12-03,Amway Center,/wiki/Amway_Center,"Orlando, Florida, United States",17065.0,"17,065[1]",,,20000.0,,,0.85325
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Nzechukwu_vs._Cu%C8%9Belaba,2025-12-11T18:56:01.793608,UFC Fight Night: Nzechukwu vs. Cuțelaba,"November 19, 2022(2022-11-19)",2022-11-19,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_281,2025-12-11T18:56:03.831341,UFC 281,"November 12, 2022(2022-11-12)",2022-11-12,Madison Square Garden,/wiki/Madison_Square_Garden,"New York City, New York, United States",20845.0,"20,845[1]",,,22000.0,11562807.77,"$11,562,807.77[1]",0.9475
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rodriguez_vs._Lemos,2025-12-11T18:56:05.985870,UFC Fight Night: Rodriguez vs. Lemos,"November 5, 2022(2022-11-05)",2022-11-05,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Kattar_vs._Allen,2025-12-11T18:56:08.023439,UFC Fight Night: Kattar vs. Allen,"October 29, 2022(2022-10-29)",2022-10-29,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_280,2025-12-11T18:56:10.027746,UFC 280,"October 22, 2022(2022-10-22)",2022-10-22,Etihad Arena,/wiki/Etihad_Arena,"Abu Dhabi, United Arab Emirates",13400.0,"13,400[1]",650000.0,"650,000[2]",18000.0,1.0,Not Announced[1],0.7444444444444445
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Grasso_vs._Ara%C3%BAjo,2025-12-11T18:56:11.950594,UFC Fight Night: Grasso vs. Araújo,"October 15, 2022(2022-10-15)",2022-10-15,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dern_vs._Yan,2025-12-11T18:56:13.952728,UFC Fight Night: Dern vs. Yan,"October 1, 2022(2022-10-01)",2022-10-01,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Sandhagen_vs._Song,2025-12-11T18:56:15.890756,UFC Fight Night: Sandhagen vs. Song,"September 17, 2022(2022-09-17)",2022-09-17,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_279,2025-12-11T18:56:17.884184,UFC 279,"September 10, 2022(2022-09-10)",2022-09-10,T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",19125.0,"19,125[1]",,,20000.0,5670271.86,"$5,670,271.86[1]",0.95625
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gane_vs._Tuivasa,2025-12-11T18:56:19.753688,UFC Fight Night: Gane vs. Tuivasa,"September 3, 2022(2022-09-03)",2022-09-03,Accor Arena,/wiki/Accor_Arena,"Paris, France",15405.0,"15,405[1]",,,20300.0,3242837.0,"$3,242,837[1]",0.7588669950738917
https://en.wikipedia.org/wiki/UFC_278,2025-12-11T18:56:21.764907,UFC 278,"August 20, 2022(2022-08-20)",2022-08-20,Vivint Arena,/wiki/Vivint_Arena,"Salt Lake City,Utah, United States",18321.0,"18,321[1]",,,20000.0,4297655.0,"$4,297,655[1]",0.91605
https://en.wikipedia.org/wiki/UFC_on_ESPN:_Vera_vs._Cruz,2025-12-11T18:56:23.821023,UFC on ESPN: Vera vs. Cruz,"August 13, 2022(2022-08-13)",2022-08-13,Pechanga Arena,/wiki/Pechanga_Arena,"San Diego,California, United States",12804.0,"12,804[1]",,,16100.0,1735904.91,"$1,735,904.91[1]",0.79527950310559
https://en.wikipedia.org/wiki/UFC_on_ESPN:_Santos_vs._Hill,2025-12-11T18:56:25.900207,UFC on ESPN: Santos vs. Hill,"August 6, 2022(2022-08-06)",2022-08-06,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_277,2025-12-11T18:56:27.851346,UFC 277,"July 30, 2022(2022-07-30)",2022-07-30,American Airlines Center,/wiki/American_Airlines_Center,"Dallas, Texas, United States",19442.0,"19,442[1]",,,21146.0,4455691.0,"$4,455,691[1]",0.9194173839023929
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Aspinall,2025-12-11T18:56:29.842707,UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022(2022-07-23)",2022-07-23,The O2Arena,/wiki/The_O2_Arena,"London, England",17813.0,"17,813[1]",,,20000.0,4320679.0,"$4,320,679[1]",0.89065
https://en.wikipedia.org/wiki/UFC_on_ABC:_Ortega_vs._Rodr%C3%ADguez,2025-12-11T18:56:31.745214,UFC on ABC: Ortega vs. Rodríguez,"July 16, 2022(2022-07-16)",2022-07-16,UBS Arena,/wiki/UBS_Arena,"Elmont, New York, United States",16979.0,"16,979[1]",,,19000.0,2110000.0,"$2,110,000[1]",0.8936315789473684
https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Fiziev,2025-12-11T18:56:33.639338,UFC on ESPN: dos Anjos vs. Fiziev,"July 9, 2022(2022-07-09)",2022-07-09,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_276,2025-12-11T18:56:35.713532,UFC 276,"July 2, 2022(2022-07-02)",2022-07-02,T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",19649.0,"19,649[1]",,,20000.0,10409553.7,"$10,409,553.70[1]",0.98245
https://en.wikipedia.org/wiki/UFC_on_ESPN:_Tsarukyan_vs._Gamrot,2025-12-11T18:56:37.591637,UFC on ESPN: Tsarukyan vs. Gamrot,"June 25, 2022(2022-06-25)",2022-06-25,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_on_ESPN:_Kattar_vs._Emmett,2025-12-11T18:56:39.633585,UFC on ESPN: Kattar vs. Emmett,"June 18, 2022(2022-06-18)",2022-06-18,Moody Center,/wiki/Moody_Center,"Austin, Texas, United States",13689.0,"13,689[1]",,,16223.0,1930000.0,"$1,930,000[1]",0.8438020094926956
https://en.wikipedia.org/wiki/UFC_275,2025-12-11T18:56:41.460647,UFC 275,"June 12, 2022(2022-06-12)",2022-06-12,Singapore Indoor Stadium,/wiki/Singapore_Indoor_Stadium,"Kallang, Singapore",10787.0,"10,787[1]",,,15000.0,1546732.0,"$1,546,732[1]",0.7191333333333333
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkov_vs._Rozenstruik,2025-12-11T18:56:43.684781,UFC Fight Night: Volkov vs. Rozenstruik,"June 4, 2022(2022-06-04)",2022-06-04,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holm_vs._Vieira,2025-12-11T18:56:45.710719,UFC Fight Night: Holm vs. Vieira,"May 21, 2022(2022-05-21)",2022-05-21,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_on_ESPN:_B%C5%82achowicz_vs._Raki%C4%87,2025-12-11T18:56:47.836144,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022(2022-05-14)",2022-05-14,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
